from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-K-optimisticCE,B22-F-unstableBB-optimistic,caseBB stability,unstable caseBB,always stable,always unstable,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-L-rapid,fryer,rapid SN,delayed,rapid,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-M-max-mNS:2,ccSN,NS mass $\downarrow$ ,2.50,2.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-N-max-mNS:3,ccSN,NS mass $\uparrow$ ,2.50,3.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-O-noPISN,ccSN,no PISN,with PISN ,no PISN,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-P-sigma:100,sigma,$\sigma_{cc} \downarrow$,265.00,100.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-P-sigma:100,B22-Q-sigma:30,sigma,$\sigma_{cc} \downarrow$,100.00,30.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-R-noBHkick,ccSN,no BH kick,with BH kick,no BH kick ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-S-fWR:0-1,wind,$f_\rm{WR} \ \downarrow$,1.00,0.10,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-T-fWR:5,wind,$f_\rm{WR} \ \uparrow$,1.00,5.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha0-35,B21-alpha0-2,alpha,$\alpha \downarrow$ ,0.35,0.20,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha0-5,B21-alpha0-35,alpha,$\alpha \downarrow$ ,0.50,0.35,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha0-75,B21-alpha0-5,alpha,$\alpha \downarrow$ ,0.75,0.50,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha1,B21-alpha0-75,alpha,$\alpha \downarrow$ ,1.00,0.75,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha1,B21-alpha1,fiducial,fiducial,1.00,1.00,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha1,B21-alpha2,alpha,$\alpha \uparrow$ ,1.00,2.00,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha2,B21-alpha5,alpha,$\alpha \uparrow$ ,2.00,5.00,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha1,B21-eddington-1E3,eddington accretion,$\dot{M}_{\rm{edd}} \ \uparrow$,eddington,"1,000.00",3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-eddington-1E3,B21-eddington-1E5,eddington accretion,$\dot{M}_{\rm{edd}} \ \uparrow$,eddington,"100,000.00",3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-eddington-1E5,B21-eddington-1E9,eddington accretion,$\dot{M}_{\rm{edd}} \ \uparrow$,eddington,"1,000,000,000.00",3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha1,B21-noRLOFatZAMS,priors,noRLOFatZAMS,RLOFatZAMS,noRLOFatZAMS,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-alpha1,B21-logU-SanaPrior,priors,SanaPrior,not Sana uniform prior,Sana uniform prior,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-logU-SanaPrior,B21-logU-noRLOFatZAMS,priors,SanaPrior,RLOFatZAMS,noRLOFatZAMS,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-noRLOFatZAMS,B21-logU-noRLOFatZAMS,priors,SanaPrior,not Sana uniform prior,Sana uniform prior,3,Bavera et al. (2021) ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-qcrit-Belczynski,B21-qcrit-Claeys,qcrit,qcrit change,Belczynski,Claeys,4,Bavera et al. (2021): qcrit ,POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:N20,RG21-SN:rapid,supernova,rapid SN,N20,rapid,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:rapid,RG21-SN:delayed,fryer,delayed SN,rapid,delayed,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:delayed,RG21-SN:N20,supernova,N20 SN,delayed,N20,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-ESCN:Full-SN:N20,RG21-ESCN:Full-SN:rapid,supernova,rapid SN,N20,rapid,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-ESCN:Full-SN:rapid,RG21-ECSN:Full-SN:delayed,supernova,delayed SN,rapid,delayed,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-ECSN:Full-SN:delayed,RG21-ESCN:Full-SN:N20,supernova,N20 SN,delayed,N20,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:N20,RG21-ESCN:Full-SN:N20,ECSN,add ECSN,no ECSN,add ECSN,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:rapid,RG21-ESCN:Full-SN:rapid,ECSN,add ECSN,no ECSN,add ECSN,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:delayed,RG21-ECSN:Full-SN:delayed,ECSN,add ECSN,no ECSN,add ECSN,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-noBHkick-SN:N20,RG21-noBHkick-SN:rapid,supernova,rapid SN,N20,rapid,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-noBHkick-SN:rapid,RG21-noBH-kick-SN:delayed,fryer,delayed SN,rapid,delayed,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-noBH-kick-SN:delayed,RG21-noBHkick-SN:N20,supernova,N20 SN,delayed,N20,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:N20,RG21-noBHkick-SN:N20,ccSN,no BH kick,BH kick,no BH kick,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:rapid,RG21-noBHkick-SN:rapid,ccSN,no BH kick,BH kick,no BH kick,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:delayed,RG21-noBH-kick-SN:delayed,ccSN,no BH kick,BH kick,no BH kick,5,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3,DT22-beta0-7,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3,DT22-beta0-3-IT,IT,add IT ,no IT,IT,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-IT,DT22-beta0-7-IT,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7,DT22-beta0-7-IT,IT,add IT ,no IT,IT,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3,DT22-beta0-3-zeta7-5,zeta,zeta up ,check,7.50,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-zeta7-5,DT22-beta0-7-zeta7-5,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7,DT22-beta0-7-zeta7-5,zeta,zeta up ,check,7.50,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-zeta7-5,DT22-beta0-3-zeta7-5-IT,IT,add IT ,no IT,IT,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-zeta7-5-IT,DT22-beta0-7-zeta7-5-IT,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7-zeta7-5,DT22-beta0-7-zeta7-5-IT,IT,add IT ,no IT,IT,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3,DT22-beta0-3-gamma1,gamma,add gamma,check,1.00,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-gamma1,DT22-beta0-7-gamma1,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7,DT22-beta0-7-gamma1,gamma,add gamma,check,1.00,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-gamma1,DT22-beta0-3-gamma1-IT,IT,add IT ,no IT,IT,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-gamma1-IT,DT22-beta0-7-gamma1-IT,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7-gamma1,DT22-beta0-7-gamma1-IT,IT,add IT ,no IT,IT,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-gamma1,DT22-beta0-3-gamma1-zeta7-5-IT,zeta,zeta up ,check,7.50,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-gamma1-zeta7-5-IT,DT22-beta0-7-gamma1-zeta7-5,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7-gamma1,DT22-beta0-7-gamma1-zeta7-5,zeta,zeta up ,check,7.50,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7-zeta7-5,DT22-beta0-7-gamma1-zeta7-5,gamma,add gamma,check,1.00,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-3-zeta7-5,DT22-beta0-3-gamma1-zeta7-5-IT,gamma,add gamma,check,1.00,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT22-beta0-7-gamma1-zeta7-5,DT22-beta0-3-gamma1-zeta7-5-IT,DT22-beta0-3-gamma1-zeta7-5-IT,DT22-beta0-7-gamma1-zeta7-5-IT,DT22-beta0-7-gamma1-zeta7-5-IT,van Son (2022),van Son (2022),Briel (2022) ,Briel (2022) ,Briel (2022) - RAPID,Briel (2022) - RAPID,Briel (2022) - DELAYED,Briel (2022) - DELAYED,Olejak21-M380 (fiducial),Olejak21-M380 (fiducial),Olejak21-M480 (changedCEcriteria),Olejak21-M480 (changedCEcriteria),Olejak21-M481 (changedCEcriteria+switch),Olejak21-M481 (changedCEcriteria+switch)
DT22-beta0-3-gamma1-zeta7-5-IT,DT22-beta0-7-gamma1-zeta7-5-IT,beta,$\beta \uparrow$ ,0.30,0.70,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7-zeta7-5,DT22-beta0-7-gamma1-zeta7-5-IT,gamma,add gamma,check,1.00,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT22-beta0-7-gamma1,DT22-beta0-7-gamma1-zeta7-5-IT,zeta,zeta up ,check,7.50,10,Dorozsmai (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
van Son (2022),van Son (2022),fiducial,fiducial,none,none,11,van Son (2022) ,COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briel (2022) ,Briel (2022) - RAPID,weird SN,rapid SN,own SN prescription,rapid,12,Briel (2022),BPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briel (2022) - RAPID,Briel (2022) - DELAYED,fryer,delayed SN,rapid,delayed,12,Briel (2022),BPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briel (2022) - DELAYED,Briel (2022) ,ccSN,own SN prescription,delayed,own SN prescription,12,Briel (2022),BPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olejak21-M380 (fiducial),Olejak21-M480 (changedCEcriteria),stability,CE criteria changed,default,CE criteria changed,13,Olejak (2021) ,STARTRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olejak21-M480 (changedCEcriteria),Olejak21-M481 (changedCEcriteria+switch),stability,switch added,default,switch added,13,Olejak (2021) ,STARTRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
